;Gender;Age;Date_of_birth;Nationality;Municipality;Canton;Salary;Social_matricule;Ethnicity;hair_color;hair_lenght;First_name;Surname
36;F;50;19730125;Portugal;Differdange;Canton Esch;3968.0;197301258512*;white;brown;short;Nair;Branco
37;F;26;19970422;Luxembourg;Wiltz;Canton Wiltz;4833.0;199704225142*;white;brown;short;Pauline;Ramos
38;M;39;19840404;Luxembourg;Parc Hosingen;Canton Clervaux;2585.0;198404045679*;white;gray;long;David;Vermeersch
39;F;43;19800604;Luxembourg;Rumelange;Canton Esch;2404.0;198006048879*;white;black;medium;Chantal;Merle
40;F;39;19840306;Luxembourg;Schuttrange;Canton Luxembourg;3044.0;198403065705*;white;brown;short;José;Verheyen
41;F;20;20030323;Portugal;Luxembourg;Canton Luxembourg;1960.0;200303233156*;white;red;short;Marta;Campos
42;F;29;19940913;Luxembourg;Luxembourg;Canton Luxembourg;2960.0;199409132721*;white;brown;long;Marguerite;Meyer
43;F;39;19840419;Italy;Differdange;Canton Esch;2468.0;198404195252*;white;red;medium;Giovanna;Collina
44;M;27;19960726;Luxembourg;Parc Hosingen;Canton Clervaux;1085.0;199607266600*;white;blond;short;Freddy;Somers
45;M;40;19830308;Belgium;Bettembourg;Canton Esch;4596.0;198303087785*;white;blond;medium;Jozef;Sels
46;F;19;20040918;Portugal;Dudelange;Canton Esch;11453.0;200409184754*;white;red;short;Francisca;Sá
47;F;18;20050510;Belgium;Habscht;Canton Capellen;3639.0;200505103917*;white;black;short;Nathalie;Deman
48;M;59;19640405;Luxembourg;Mersch;Canton Mersch;7555.0;196404054693*;white;gray;long;Davy;Breugelmans
49;M;21;20021022;Luxembourg;Sanem;Canton Esch;1642.0;200210220268*;white;black;medium;Franky;Maes
50;F;76;19470814;France;Betzdorf;Canton Grevenmacher;0.0;194708149494*;white;gray;short;Camille;Nicolas
51;F;25;19980413;Luxembourg;Schifflange;Canton Esch;9542.0;199804139734*;white;gray;medium;Valérie;Vissers
52;M;19;20041231;Luxembourg;Kayl;Canton Esch;8116.0;200412312822*;black;black;medium;André;Timmermans
53;F;19;20040418;Belgium;Mamer;Canton Capellen;12701.0;200404184135*;white;black;long;Marleen;Van den Bossche
54;F;25;19980329;Portugal;Luxembourg;Canton Luxembourg;21960.0;199803299361*;white;black;medium;Bárbara;Leite
55;F;57;19660305;Luxembourg;Schifflange;Canton Esch;4042.0;196603056387*;white;gray;short;Nina;De Pauw
56;M;30;19930525;Luxembourg;Wormeldange;Canton Grevenmacher;8322.0;199305250890*;white;red;short;Benoît;Pinto
57;F;64;19591108;France;Esch-sur-Alzette;Canton Esch;4803.0;195911086286*;black;gray;short;Élodie;Germain
58;F;37;19860922;Luxembourg;Luxembourg;Canton Luxembourg;4460.0;198609220453*;white;gray;medium;Cornelia;De Witte
59;F;67;19560124;Belgium;Bettembourg;Canton Esch;0.0;195601245235*;white;black;long;Zoë;Claeys
60;M;61;19621223;Portugal;Sandweiler;Canton Luxembourg;2583.0;196212239104*;white;gray;short;Márcio;Alves
61;F;92;19310529;Poland;Luxembourg;Canton Luxembourg;0.0;193105296452*;white;gray;short;Justyna;Albin
62;M;57;19660823;Luxembourg;Sanem;Canton Esch;5142.0;196608235767*;white;black;medium;Gilles;Vervoort
63;M;36;19871109;Luxembourg;Beckerich;Canton Redange;3132.0;198711098816*;white;blond;short;Georges;Luyten
64;M;26;19970327;Luxembourg;Luxembourg;Canton Luxembourg;3460.0;199703277087*;black;black;long;Luc;Allard
65;F;29;19941104;Luxembourg;Hesperange;Canton Luxembourg;5654.0;199411044907*;white;red;short;Clara;Dupré
66;F;63;19600621;Luxembourg;Luxembourg;Canton Luxembourg;5960.0;196006214284*;black;black;short;Linda;Fernandez
67;F;31;19920411;Luxembourg;Esch-sur-Alzette;Canton Esch;8303.0;199204112055*;white;brown;medium;Jessica;Grégoire
68;F;46;19771230;Portugal;Schengen;Canton Remich;3039.0;197712304811*;white;brown;short;Salomé;Amorim
69;M;43;19800617;Portugal;Mamer;Canton Capellen;5701.0;198006174304*;white;black;long;Leandro;Amaral
70;M;26;19970102;Luxembourg;Esch-sur-Alzette;Canton Esch;8303.0;199701025631*;white;brown;short;Kasper;Weber
71;F;65;19580504;Romania;Esch-sur-Alzette;Canton Esch;0.0;195805042846*;white;gray;medium;Catrinel;Stănescu
72;F;39;19840624;Luxembourg;Echternach;Canton Echternach;5723.0;198406248631*;white;black;medium;Susan;Gaillard
73;F;60;19630718;Luxembourg;Walferdange;Canton Luxembourg;10145.0;196307185630*;white;black;medium;Alice;Pauwels
74;M;80;19431025;France;Mertzig;Canton Diekirch;0.0;194310256011*;white;gray;long;Matthieu;Jacques
75;F;30;19930508;Germany;Weiler-la-Tour;Canton Luxembourg;9857.0;199305087184*;white;brown;long;Ljubica;Döhn
76;F;46;19770719;Portugal;Parc Hosingen;Canton Clervaux;5085.0;197707190103*;white;gray;short;Inês;Pinheiro
77;F;29;19941007;Luxembourg;Dalheim;Canton Remich;3540.0;199410073088*;latino;brown;medium;Merel;Stevens
78;F;53;19700218;France;Luxembourg;Canton Luxembourg;2960.0;197002189575*;white;brown;long;Sophie;Martins
79;F;30;19930913;Luxembourg;Grevenmacher;Canton Grevenmacher;8361.0;199309131344*;white;black;short;Susanne;Guillet
80;M;35;19880708;Luxembourg;Luxembourg;Canton Luxembourg;3460.0;198807080402*;white;brown;short;Wim;Masse
81;F;82;19411126;Italy;Luxembourg;Canton Luxembourg;0.0;194111262652*;white;gray;medium;Lidia;Pacelli
82;F;29;19940418;Luxembourg;Luxembourg;Canton Luxembourg;20960.0;199404185017*;white;black;short;Chantal;Simon
83;F;43;19800202;Portugal;Luxembourg;Canton Luxembourg;8960.0;198002026222*;white;black;medium;Anita;Batista
84;F;30;19930930;Luxembourg;Helperknapp;Canton Mersch;3417.0;199309301805*;black;gray;medium;Laetitia;Van Acker
85;M;48;19750901;Portugal;Rosport-Mompach;Canton Echternach;2096.0;197509015974*;white;red;short;Valentim;Amorim
86;F;31;19920808;Luxembourg;Luxembourg;Canton Luxembourg;4460.0;199208082025*;latino;gray;medium;Chantal;Van Assche
87;M;69;19540328;Luxembourg;Luxembourg;Canton Luxembourg;0.0;195403285464*;white;black;short;Xander;Mariën
88;F;34;19890129;Luxembourg;Differdange;Canton Esch;8468.0;198901290078*;white;black;long;Jacqueline;Charles
89;F;23;20000521;Luxembourg;Biwer;Canton Grevenmacher;7484.0;200005219333*;black;blond;short;Lucie;Ramaekers
90;F;68;19550924;Belgium;Troisvierges;Canton Clervaux;0.0;195509245874*;white;gray;short;Aline;Bogaert
91;F;64;19590713;Luxembourg;Leudelange;Canton Esch;7483.0;195907137070*;white;gray;medium;Juliette;Lemaître
92;M;35;19880716;Luxembourg;Differdange;Canton Esch;2968.0;198807164934*;black;black;long;Patrick;Cools
93;M;79;19440322;Portugal;Bertrange;Canton Luxembourg;0.0;194403221685*;white;gray;long;Mateus;Simões
94;M;19;20040228;Luxembourg;Junglinster;Canton Grevenmacher;1244.0;200402282964*;black;brown;medium;Patrick;Geeraerts
95;M;25;19980525;Portugal;Luxembourg;Canton Luxembourg;7460.0;199805259759*;white;red;long;Fernando;Lopes
96;F;56;19670805;Luxembourg;Beaufort;Canton Echternach;2082.0;196708059865*;white;gray;medium;Dorothée;Hendrickx
97;M;41;19820722;Luxembourg;Habscht;Canton Capellen;9139.0;198207229643*;white;brown;medium;Noël;Celis
98;F;38;19851111;Luxembourg;Steinsel;Canton Luxembourg;1560.0;198511117694*;white;brown;long;Magdalena;De Wit
99;F;73;19500324;Portugal;Helperknapp;Canton Mersch;0.0;195003246040*;white;gray;short;Marta;Lourenço
100;F;37;19860421;Luxembourg;Préizerdaul;Canton Redange;1365.0;198604213882*;white;red;medium;An;Barthelemy
101;M;52;19710410;Luxembourg;Frisange;Canton Esch;7628.0;197104108417*;white;blond;short;Theo;Gautier
102;M;39;19841112;Italy;Lorentzweiler;Canton Mersch;12726.0;198411127215*;white;black;medium;Gilberto;Grassi
103;F;80;19430519;Portugal;Käerjeng;Canton Capellen;0.0;194305193105*;white;gray;short;Jéssica;Morais
104;F;45;19780125;Ukraine;Heffingen;Canton Mersch;3858.0;197801257368*;white;black;medium;Марина;Ісаєнко
105;M;59;19641024;Portugal;Sanem;Canton Esch;3142.0;196410240671*;white;gray;short;Miguel;Morais
106;M;36;19871216;Luxembourg;Pétange;Canton Esch;2528.0;198712168186*;latino;black;long;Jozef;Peltier
107;M;35;19880105;Portugal;Esch-sur-Alzette;Canton Esch;6803.0;198801058083*;white;black;long;Márcio;Carneiro
108;M;41;19820730;Italy;Esch-sur-Alzette;Canton Esch;2303.0;198207302303*;white;gray;medium;Niccolò;Rossi
109;F;45;19780418;Luxembourg;Mondercange;Canton Esch;4580.0;197804189454*;white;red;long;Claudine;Bigot
110;F;58;19650721;Luxembourg;Steinsel;Canton Luxembourg;8560.0;196507210112*;white;gray;medium;Margot;Hendrickx
111;F;34;19891226;Luxembourg;Sanem;Canton Esch;1642.0;198912261679*;white;black;long;Bernadette;De Coninck
112;F;48;19751228;Luxembourg;Luxembourg;Canton Luxembourg;2960.0;197512285235*;black;brown;medium;Céline;Verstraete
113;F;46;19770131;Luxembourg;Esch-sur-Alzette;Canton Esch;2303.0;197701314695*;black;black;long;Patricia;Étienne
114;F;36;19870226;Portugal;Esch-sur-Alzette;Canton Esch;2803.0;198702261329*;white;black;long;Adriana;Oliveira
115;F;27;19960826;Luxembourg;Strassen;Canton Luxembourg;15087.0;199608263783*;latino;blond;short;Laurence;Duval
116;M;57;19660818;Luxembourg;Wincrange;Canton Clervaux;4032.0;196608184715*;black;gray;long;Marc;Van Damme
117;F;63;19600909;Luxembourg;Weiler-la-Tour;Canton Luxembourg;3857.0;196009091521*;latino;gray;medium;Alina;De Smet
118;F;56;19670315;Luxembourg;Luxembourg;Canton Luxembourg;5460.0;196703152693*;white;gray;long;Elisabeth;Van Rompaey
119;F;56;19671003;Italy;Esch-sur-Alzette;Canton Esch;2803.0;196710036046*;white;brown;short;Marisa;Galvani
120;F;55;19680625;Portugal;Steinfort;Canton Capellen;18157.0;196806255110*;white;gray;long;Valentina;Campos
121;F;34;19890420;Luxembourg;Esch-sur-Sûre;Canton Wiltz;4524.0;198904209590*;black;blond;medium;Hortense;Schmitt
122;M;68;19550501;Luxembourg;Préizerdaul;Canton Redange;0.0;195505017134*;white;black;short;Vincent;Fernandes
123;M;29;19940412;Portugal;Differdange;Canton Esch;1968.0;199404122734*;white;brown;long;Denis;Rocha
124;M;50;19730927;Luxembourg;Kehlen;Canton Capellen;6207.0;197309275898*;white;red;long;Joseph;Perrier
125;F;62;19610120;Luxembourg;Differdange;Canton Esch;1968.0;196101200059*;white;gray;long;Émilie;Cousin
126;F;56;19671219;Luxembourg;Mersch;Canton Mersch;3555.0;196712197712*;white;black;short;Marie;Martins
127;F;64;19590120;Belgium;Helperknapp;Canton Mersch;10917.0;195901200631*;white;black;medium;Ilona;Mertens
128;F;43;19801203;Portugal;Beaufort;Canton Echternach;6582.0;198012030853*;white;black;short;Erika;Castro
129;F;55;19680201;Portugal;Differdange;Canton Esch;3468.0;196802011712*;white;black;long;Fabiana;Teixeira
130;F;62;19610827;Luxembourg;Habscht;Canton Capellen;3139.0;196108277673*;white;gray;long;Claudine;Somers
131;M;92;19310220;Luxembourg;Luxembourg;Canton Luxembourg;0.0;193102206218*;black;gray;medium;Patrick;Charles
132;F;39;19840717;Luxembourg;Luxembourg;Canton Luxembourg;7460.0;198407173937*;black;gray;long;Noa;Guillaume
133;M;56;19670601;Luxembourg;Rumelange;Canton Esch;2904.0;196706013898*;white;black;long;Guido;Jacobs
134;M;56;19670220;Luxembourg;Differdange;Canton Esch;4468.0;196702205309*;latino;blond;short;Jef;Delahaye
135;F;23;20000929;Luxembourg;Bourscheid;Canton Diekirch;2097.0;200009297673*;white;brown;long;Emmanuelle;Bonte
136;M;61;19620716;Luxembourg;Strassen;Canton Luxembourg;11587.0;196207167411*;white;gray;long;André;Bruggeman
137;M;22;20010610;Italy;Mondorf-les-Bains;Canton Remich;1384.0;200106103198*;white;red;short;Marcello;Lombroso
138;F;70;19530820;Luxembourg;Lenningen;Canton Remich;0.0;195308202327*;white;gray;long;Adèle;Thys
139;M;52;19710504;Italy;Kehlen;Canton Capellen;11207.0;197105044753*;white;gray;long;Pierangelo;Morandini
140;F;54;19691104;Luxembourg;Luxembourg;Canton Luxembourg;2460.0;196911046067*;white;red;medium;Denise;Geuens
141;F;40;19830913;Luxembourg;Sanem;Canton Esch;3142.0;198309137758*;white;gray;medium;Adrienne;Leemans
142;F;58;19650221;Luxembourg;Käerjeng;Canton Capellen;4641.0;196502218036*;white;gray;short;Jacqueline;Jacquet
143;F;82;19411105;Luxembourg;Feulen;Canton Diekirch;0.0;194111050842*;white;gray;medium;Dominique;Van Gestel
144;F;46;19771016;Luxembourg;Kehlen;Canton Capellen;6707.0;197710166206*;white;black;short;Nadia;Andries
145;F;91;19320513;Luxembourg;Sanem;Canton Esch;0.0;193205138454*;white;gray;short;Christiane;De Block
146;M;19;20040622;Luxembourg;Mamer;Canton Capellen;4701.0;200406222145*;latino;black;medium;Alphonse;Valentin
147;M;51;19720224;Luxembourg;Kayl;Canton Esch;4616.0;197202242813*;black;black;short;Auguste;Wauters
148;F;18;20050818;Poland;Differdange;Canton Esch;3968.0;200508181375*;white;blond;medium;Ada;Waloch
149;F;31;19920927;Luxembourg;Luxembourg;Canton Luxembourg;20960.0;199209271057*;white;black;medium;Hortense;Weiss
150;F;39;19840607;Netherlands;Betzdorf;Canton Grevenmacher;1625.0;198406075514*;white;brown;short;Cato;Berendse
151;F;47;19760409;Luxembourg;Luxembourg;Canton Luxembourg;5460.0;197604097216*;latino;gray;long;Freya;Germain
152;F;27;19960325;Luxembourg;Luxembourg;Canton Luxembourg;5960.0;199603250047*;white;black;long;Jacqueline;Camus
153;M;90;19331216;Spain;Rambrouch;Canton Redange;0.0;193312169542*;white;gray;medium;Marcial;Cabezas
154;F;51;19720724;Luxembourg;Manternach;Canton Grevenmacher;5380.0;197207249393*;black;black;long;Laure;Gay
155;M;38;19850226;Luxembourg;Redange-sur-Attert;Canton Redange;Nan;198502263037*;white;gray;medium;Floris;Van Hoof
156;F;49;19740820;Luxembourg;Luxembourg;Canton Luxembourg;6460.0;197408206781*;white;gray;medium;Adèle;Dierickx
157;M;19;20040802;France;Préizerdaul;Canton Redange;4865.0;200408022970*;black;red;medium;Laurent;Pottier
158;M;60;19630822;Luxembourg;Pétange;Canton Esch;10028.0;196308220656*;white;brown;long;Bram;Roche
159;F;45;19781213;Luxembourg;Luxembourg;Canton Luxembourg;7960.0;197812132723*;white;brown;long;Jeanne;Grégoire
160;M;33;19900115;Luxembourg;Mamer;Canton Capellen;20701.0;199001157133*;white;blond;short;Joseph;Andries
161;M;73;19500731;France;Habscht;Canton Capellen;0.0;195007311311*;white;gray;medium;Théophile;Barbe
162;M;92;19310904;Portugal;Rambrouch;Canton Redange;0.0;193109043902*;white;gray;long;César;Vicente
163;M;68;19550201;Portugal;Dalheim;Canton Remich;0.0;195502019560*;white;black;short;Gil;Soares
164;M;50;19730607;Luxembourg;Lenningen;Canton Remich;5568.0;197306077331*;white;red;short;Jérôme;Baetens
165;F;53;19700729;Luxembourg;Weiswampach;Canton Clervaux;7512.0;197007293685*;white;gray;medium;Danielle;Cuypers
166;F;62;19610822;Luxembourg;Esch-sur-Alzette;Canton Esch;1303.0;196108227592*;white;gray;short;Marie-Thérèse;Peeters
167;F;24;19990629;Luxembourg;Steinfort;Canton Capellen;5657.0;199906297170*;white;black;medium;Michelle;Riou
168;M;45;19781230;France;Bissen;Canton Mersch;3055.0;197812305103*;white;black;long;Denis;Raynaud
169;M;58;19650514;Portugal;Käerjeng;Canton Capellen;5641.0;196505148004*;white;gray;short;Ismael;Jesus
170;F;34;19890807;Luxembourg;Beaufort;Canton Echternach;11082.0;198908077787*;black;gray;short;Caroline;Poulain
171;F;56;19670204;Luxembourg;Kayl;Canton Esch;1616.0;196702044052*;white;gray;medium;Martine;De Wachter
172;M;22;20011007;Luxembourg;Kayl;Canton Esch;3116.0;200110075020*;black;red;medium;Guy;Verboven
173;F;26;19970920;Luxembourg;Tandel;Canton Vianden;3153.0;199709201415*;black;black;medium;Petra;Bouvet
174;M;24;19990530;Portugal;Niederanven;Canton Luxembourg;16955.0;199905307690*;white;brown;long;Denis;Almeida
175;M;39;19841021;Ukraine;Käerjeng;Canton Capellen;4641.0;198410219184*;white;blond;short;Хома;Бакуменко
176;M;55;19681229;France;Pétange;Canton Esch;3028.0;196812297451*;white;black;medium;Bertrand;Andre
177;M;44;19791029;France;Vallée de l'Ernz;Canton Diekirch;5597.0;197910292378*;white;brown;medium;Frédéric;Richard
178;F;38;19850829;Luxembourg;Clervaux;Canton Clervaux;7479.0;198508296677*;white;black;medium;Manon;Dillen
179;F;46;19770110;France;Consdorf;Canton Echternach;2063.0;197701102531*;white;red;medium;Sylvie;Delmas
180;F;47;19760407;Italy;Luxembourg;Canton Luxembourg;2460.0;197604078340*;white;gray;long;Virginia;Juvara
181;F;52;19710122;Italy;Bettembourg;Canton Esch;5096.0;197101222616*;white;brown;long;Rosina;Paruta
182;F;29;19940228;Portugal;Ettelbruck;Canton Diekirch;5862.0;199402284751*;white;red;long;Miriam;Gonçalves
183;M;49;19741120;Luxembourg;Luxembourg;Canton Luxembourg;2460.0;197411204251*;white;black;long;Marc;Vanneste
184;M;45;19781013;France;Rambrouch;Canton Redange;3046.0;197810133166*;black;brown;short;Joseph;Carre
185;F;45;19780406;Luxembourg;Boulaide;Canton Wiltz;10895.0;197804062024*;white;gray;long;Anja;Gay
186;F;32;19910827;Luxembourg;Mersch;Canton Mersch;5555.0;199108275270*;white;black;short;Laetitia;Fournier
187;F;57;19660924;Luxembourg;Luxembourg;Canton Luxembourg;15460.0;196609243966*;black;black;short;Sonia;Pauwels
188;M;53;19701225;Belgium;Ettelbruck;Canton Diekirch;3362.0;197012251091*;white;brown;long;Viktor;De Wolf
189;F;22;20010704;Romania;Mondercange;Canton Esch;4580.0;200107044225*;white;red;medium;Beatrice;Voinea
190;M;73;19500602;Luxembourg;Clervaux;Canton Clervaux;0.0;195006022178*;white;gray;short;Liam;Lombard
191;M;35;19880905;Belgium;Steinfort;Canton Capellen;1157.0;198809056677*;white;red;short;Thomas;De Baere
192;M;62;19610220;Luxembourg;Steinfort;Canton Capellen;2657.0;196102200531*;white;blond;medium;Joseph;Godard
193;M;20;20031103;Luxembourg;Mamer;Canton Capellen;8701.0;200311036483*;white;black;short;Steve;Lacroix
194;F;48;19750313;Luxembourg;Rumelange;Canton Esch;2404.0;197503135306*;latino;brown;medium;Sara;Delahaye
195;F;38;19850519;Luxembourg;Colmar-Berg;Canton Mersch;3224.0;198505194019*;white;blond;short;Aurore;Lopez
196;M;45;19780404;Luxembourg;Luxembourg;Canton Luxembourg;9960.0;197804045498*;white;gray;medium;Willy;Willems
197;F;69;19541203;Portugal;Luxembourg;Canton Luxembourg;0.0;195412034787*;white;gray;short;Clara;Carneiro
198;M;51;19720831;Luxembourg;Wiltz;Canton Wiltz;3333.0;197208315640*;white;gray;medium;Geert;Geerts
199;M;19;20040906;Luxembourg;Bissen;Canton Mersch;3055.0;200409062726*;white;brown;medium;Denis;Barre
200;F;21;20020304;Luxembourg;Ettelbruck;Canton Diekirch;862.0;200203048248*;black;brown;long;Margaud;Peeters
201;M;38;19850907;Luxembourg;Mertert;Canton Grevenmacher;8508.0;198509079587*;black;black;medium;Joseph;Goris
202;F;55;19680312;Luxembourg;Luxembourg;Canton Luxembourg;1960.0;196803124372*;white;black;long;Zita;Tanghe
203;M;73;19500208;Portugal;Luxembourg;Canton Luxembourg;0.0;195002081504*;white;gray;short;Luís;Machado
204;F;25;19981230;Luxembourg;Differdange;Canton Esch;4968.0;199812305939*;white;black;long;Élise;Arnaud
205;F;29;19940314;Luxembourg;Remich;Canton Remich;3288.0;199403144980*;white;red;short;Vanessa;Ali
206;M;60;19631001;Luxembourg;Luxembourg;Canton Luxembourg;10460.0;196310016787*;white;black;short;Olivier;Van Damme
207;F;54;19691023;Luxembourg;Pétange;Canton Esch;1528.0;196910232786*;white;black;short;Caroline;De Backer
208;F;68;19550903;Portugal;Erpeldange-sur-Sûre;Canton Diekirch;0.0;195509035812*;white;gray;medium;Beatriz;Henriques
209;M;76;19470606;Luxembourg;Pétange;Canton Esch;0.0;194706062953*;white;gray;short;Paul;Lopez
210;F;30;19931202;Italy;Dudelange;Canton Esch;4453.0;199312022482*;white;blond;long;Margherita;Maffei
211;M;52;19710604;Portugal;Esch-sur-Alzette;Canton Esch;6303.0;197106046001*;white;gray;medium;Alexandre;Carvalho
212;M;28;19951222;Luxembourg;Mamer;Canton Capellen;4201.0;199512228172*;black;red;short;Paul;Nelissen
213;F;34;19891217;Luxembourg;Schifflange;Canton Esch;6042.0;198912170785*;white;black;medium;Anne;Poppe
214;M;60;19630409;Italy;Steinfort;Canton Capellen;4657.0;196304090016*;white;black;short;Tullio;Emanuelli
215;F;22;20010318;Italy;Wormeldange;Canton Grevenmacher;5322.0;200103185278*;white;red;short;Tiziana;Antonelli
216;F;30;19930503;France;Luxembourg;Canton Luxembourg;6460.0;199305030137*;white;brown;medium;Michelle;Jacques
217;F;31;19920527;Luxembourg;Esch-sur-Alzette;Canton Esch;3303.0;199205274525*;latino;gray;long;Christelle;Navarro
218;F;37;19861010;Luxembourg;Feulen;Canton Diekirch;1342.0;198610106435*;white;gray;medium;Marguerite;Devaux
219;M;70;19530816;India;Pétange;Canton Esch;0.0;195308162936*;south asians;gray;long;Anvi;Ramesh
220;M;61;19620528;France;Luxembourg;Canton Luxembourg;9460.0;196205282836*;black;black;medium;Alexandre;Moreau
221;M;61;19620322;Luxembourg;Differdange;Canton Esch;2968.0;196203227607*;white;black;short;Stijn;Berger
222;M;39;19841117;Luxembourg;Sanem;Canton Esch;14142.0;198411174820*;white;black;medium;Louis;De Wilde
223;M;39;19840720;Luxembourg;Echternach;Canton Echternach;1223.0;198407203651*;latino;black;medium;Antoine;Verelst
224;F;58;19650102;Luxembourg;Pétange;Canton Esch;2028.0;196501025561*;white;gray;long;Marine;Segers
225;F;62;19610526;Luxembourg;Hesperange;Canton Luxembourg;7154.0;196105265816*;white;brown;medium;Lisette;Nicolas
226;M;30;19931213;Luxembourg;Luxembourg;Canton Luxembourg;18460.0;199312134694*;white;brown;short;Isaac;Dhondt
227;M;59;19640524;Luxembourg;Luxembourg;Canton Luxembourg;3460.0;196405242220*;white;gray;long;Yannick;Vincent
228;M;81;19420924;Luxembourg;Bertrange;Canton Luxembourg;0.0;194209249231*;white;gray;long;Auguste;Martin
229;M;41;19820113;Luxembourg;Dudelange;Canton Esch;3953.0;198201133590*;white;blond;long;Freddy;Gérard
230;F;36;19871225;Portugal;Luxembourg;Canton Luxembourg;10460.0;198712250481*;white;red;medium;Yara;Henriques
231;M;20;20030412;Luxembourg;Redange-sur-Attert;Canton Redange;Nan;200304127482*;white;red;long;Marc;Vandaele
232;M;69;19540211;Portugal;Clervaux;Canton Clervaux;0.0;195402119810*;white;brown;long;Igor;Moreira
233;F;43;19801127;Luxembourg;Esch-sur-Alzette;Canton Esch;7303.0;198011272694*;white;brown;long;Sophie;Cools
234;M;75;19480518;Luxembourg;Bettembourg;Canton Esch;0.0;194805180808*;white;gray;medium;Georges;Perez
